Model,Accuracy,F1-Score,ROC-AUC
Logistic Regression (Baseline),0.7830181337069032,0.7752337955498226,0.8599783396650644
Random Forest,0.8221651490388358,0.8133322440977044,0.9038472171073034
XGBoost,0.8248890964277376,0.8176956733106465,0.9086964427624439
Neural Network (MLP),0.8202972994007316,0.8092838853555794,0.9011073422236007
